2   O=C(N1[C@@H](CCC1)C(=O)NNC(=O)N)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO)Cc1ccc(O)cc1)COC(C)(C)C)CC(C)C)CCCN=C(N)N	[NO NAME]
522   ClCC1OC1.NCC=C	658

531   P(=O)(O)(O)O.P(=O)(O)(O)O.[nH]1c(CCN)cnc1	667

536   Clc1ccc(S(=O)(=O)NC(=O)NCCC)cc1	672

541   P(=O)(F)(OC(C)C)OC(C)C	677

542   Clc1nc(n(Cc2ccc(cc2)c2c(cccc2)c2n[nH]nn2)c1CO)CCCC	678

547   Clc1cc2c(n3c(CN=C2c2c(F)cccc2)cnc3C)cc1	683

554   Clc1cc2c(N(CCN(CC)CC)C(=O)CN=C2c2c(F)cccc2)cc1	690

559   Clc1c(S(=O)(=O)N)cc(c(NCc2occc2)c1)C(=O)O	695

561   Clc1c(NC2=NCCN2)c2nsnc2cc1	697

563   Brc1cc(C(=O)OC[C@@H]2C[C@@]3(OC)[C@H](N(C2)C)Cc2c4c3cccc4n(c2)C)cnc1	699

573   P(=O)(O)(O)C(P(=O)(O)O)(O)CCN(CCCCC)C	710

581   P(=O)(OCOC(=O)C(C)(C)C)(OCOC(=O)C(C)(C)C)COCCn1c2ncnc(N)c2nc1	718

583   ClC(Cl)(P(=O)(O)O)P(=O)(O)O	720

588   O(C(=O)C(O)c1ccccc1)C1CC2[N+](C(C1)CC2)(C)C.[Br-]	

592   S(=O)(=O)(OC)[O-].[N+]1(CCC(=C(c2ccccc2)c2ccccc2)CC1)(C)C	729

595   S(=O)(=O)([O-])c1ccccc1.S(=O)(=O)([O-])c1ccccc1.O(c1cc2C([N+](CCc2cc1OC)(CCC(=O)OCCCCCOC(=O)CC[N+]1(C(c2c(CC1)cc(OC)c(OC)c2)Cc1cc(OC)c(OC)cc1)C)C)Cc1cc(OC)c(OC)cc1)C	

600   Clc1ccc(C(N2CCN(CC2)Cc2cc(ccc2)C)c2ccccc2)cc1	737

605   C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O	ChEBI

606   c1ccc(cc1)COCC(C(=O)O)N(CCN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CC(=O)O.[Gd+3]	

610   [C@H]12C[C@@H](C[C@H]([C@@H]3[C@H]1O3)N2C)OC(=O)[C@H](CO)c1ccccc1	ChEBI

611   Clc1ccc(C(OCCN(C)C)c2ncccc2)cc1	748

616   ClC(OC(F)F)C(F)(F)F	753

619   Clc1c(Cc2c(O)c(Cl)cc(Cl)c2Cl)c(O)c(Cl)cc1Cl	756

621   Clc1c([C@H](N2CCc3sccc3C2)C(=O)OC)cccc1	

624   [K+].[Cl-]	

627   C1[C@@H]2[C@@]([C@@]3(C(=CC(=O)C=C3)C1)C)([C@H](C[C@@]1([C@]([C@@H](C[C@@H]21)C)(C(=O)CCl)O)C)O)Cl	

